kc_id,train_freq,train_correct_rate,test_n,test_pos,test_neg,difficulty_proxy,in_official_preds,eligible,tert,dataset
0,5381,0.7219847611968035,1624,1158,466,0.27801523880319645,True,True,T3_harder,xes3g5m
1,5941,0.7761319643157718,1660,1269,391,0.2238680356842282,True,True,T2,xes3g5m
10,27284,0.7381249083712066,8033,5956,2077,0.2618750916287934,True,True,T3_harder,xes3g5m
100,2031,0.7552929591334318,608,472,136,0.24470704086656825,True,True,T3_harder,xes3g5m
101,7186,0.7115224046757584,2022,1455,567,0.28847759532424155,True,True,T3_harder,xes3g5m
102,24291,0.8146226997653452,6854,5623,1231,0.18537730023465482,True,True,T2,xes3g5m
103,1778,0.7671541057367829,489,369,120,0.2328458942632171,True,True,T2,xes3g5m
104,32065,0.8196475908311243,8837,7302,1535,0.18035240916887574,True,True,T2,xes3g5m
105,2405,0.7226611226611227,677,513,164,0.2773388773388773,True,True,T3_harder,xes3g5m
106,27954,0.9090291192673678,8156,7402,754,0.09097088073263215,True,True,T1_easier,xes3g5m
107,3527,0.7280975333144315,952,701,251,0.2719024666855685,True,True,T3_harder,xes3g5m
108,34327,0.8173158155387887,9869,8134,1735,0.18268418446121126,True,True,T2,xes3g5m
109,31486,0.796068093755955,8862,7094,1768,0.203931906244045,True,True,T2,xes3g5m
11,13197,0.811472304311586,3890,3224,666,0.188527695688414,True,True,T2,xes3g5m
110,755,0.8516556291390729,212,185,27,0.1483443708609271,True,True,T1_easier,xes3g5m
111,1026,0.8235867446393762,288,245,43,0.1764132553606238,True,True,T2,xes3g5m
112,14011,0.7660409678110056,3943,3051,892,0.2339590321889944,True,True,T2,xes3g5m
114,11081,0.7480371807598593,3153,2416,737,0.25196281924014075,True,True,T3_harder,xes3g5m
115,3997,0.7348011008256192,1122,857,265,0.2651988991743808,True,True,T3_harder,xes3g5m
116,3065,0.6740619902120718,895,589,306,0.3259380097879282,True,True,T3_harder,xes3g5m
117,6937,0.7955888712700014,2021,1646,375,0.20441112872999856,True,True,T2,xes3g5m
118,5697,0.6987888362295945,1653,1188,465,0.30121116377040547,True,True,T3_harder,xes3g5m
121,13254,0.828881846989588,3722,3103,619,0.171118153010412,True,True,T1_easier,xes3g5m
129,1256,0.839968152866242,353,300,53,0.16003184713375795,True,True,T1_easier,xes3g5m
131,10297,0.8365543362144314,3035,2571,464,0.16344566378556857,True,True,T1_easier,xes3g5m
137,2127,0.8707099200752233,644,571,73,0.1292900799247767,True,True,T1_easier,xes3g5m
139,21267,0.8377298161470823,6201,5256,945,0.1622701838529177,True,True,T1_easier,xes3g5m
14,27046,0.8545810840789766,7642,6588,1054,0.1454189159210234,True,True,T1_easier,xes3g5m
143,4137,0.9668842156151801,1169,1138,31,0.03311578438481988,True,True,T1_easier,xes3g5m
159,2038,0.9018645731108931,557,508,49,0.09813542688910692,True,True,T1_easier,xes3g5m
