dataset,split,fold,kc_id,train_freq,valid_freq,test_freq,bucket
xes3g5m,learner_based,0,0,5381,800,1624,dense
xes3g5m,learner_based,0,1,5941,820,1660,dense
xes3g5m,learner_based,0,10,27284,3880,8033,dense
xes3g5m,learner_based,0,100,2031,339,608,dense
xes3g5m,learner_based,0,101,7186,1081,2022,dense
xes3g5m,learner_based,0,102,24291,3585,6854,dense
xes3g5m,learner_based,0,103,1778,258,489,dense
xes3g5m,learner_based,0,104,32065,4753,8837,dense
xes3g5m,learner_based,0,105,2405,335,677,dense
xes3g5m,learner_based,0,106,27954,4096,8156,dense
xes3g5m,learner_based,0,107,3527,544,952,dense
xes3g5m,learner_based,0,108,34327,4831,9869,dense
xes3g5m,learner_based,0,109,31486,4314,8862,dense
xes3g5m,learner_based,0,11,13197,1862,3890,dense
xes3g5m,learner_based,0,110,755,114,212,dense
xes3g5m,learner_based,0,111,1026,156,288,dense
xes3g5m,learner_based,0,112,14011,2071,3943,dense
xes3g5m,learner_based,0,113,806,130,227,dense
xes3g5m,learner_based,0,114,11081,1659,3153,dense
xes3g5m,learner_based,0,115,3997,595,1122,dense
xes3g5m,learner_based,0,116,3065,472,895,dense
xes3g5m,learner_based,0,117,6937,977,2021,dense
xes3g5m,learner_based,0,118,5697,808,1653,dense
xes3g5m,learner_based,0,119,8738,1245,2532,dense
xes3g5m,learner_based,0,12,10023,1447,2914,dense
xes3g5m,learner_based,0,120,1588,215,445,dense
xes3g5m,learner_based,0,121,13254,1913,3722,dense
xes3g5m,learner_based,0,122,1576,220,483,dense
xes3g5m,learner_based,0,123,19408,2879,5624,dense
xes3g5m,learner_based,0,124,13987,2088,4047,dense
xes3g5m,learner_based,0,125,2440,368,717,dense
xes3g5m,learner_based,0,126,1478,229,454,dense
xes3g5m,learner_based,0,127,9648,1423,2879,dense
xes3g5m,learner_based,0,128,5727,864,1699,dense
xes3g5m,learner_based,0,129,1256,204,353,dense
xes3g5m,learner_based,0,13,4763,675,1392,dense
xes3g5m,learner_based,0,130,4869,691,1403,dense
xes3g5m,learner_based,0,131,10297,1552,3035,dense
xes3g5m,learner_based,0,132,13713,1990,4061,dense
xes3g5m,learner_based,0,133,7604,1020,2228,dense
xes3g5m,learner_based,0,134,8664,1251,2461,dense
xes3g5m,learner_based,0,135,14311,2059,4009,dense
xes3g5m,learner_based,0,136,387,60,103,medium
xes3g5m,learner_based,0,137,2127,314,644,dense
xes3g5m,learner_based,0,138,65152,8926,18054,dense
xes3g5m,learner_based,0,139,21267,2916,6201,dense
xes3g5m,learner_based,0,14,27046,3832,7642,dense
xes3g5m,learner_based,0,140,34870,4604,10052,dense
xes3g5m,learner_based,0,141,4260,618,1191,dense
xes3g5m,learner_based,0,142,14674,2157,4390,dense
xes3g5m,learner_based,0,143,4137,595,1169,dense
