dataset,split,fold,L1,L2,L3,L4,L5,L6,L7,n_sparse_kc,n_strict_test
ASSISTments,learner,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS (empty),39,0
ASSISTments,learner,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS (empty),39,0
ASSISTments,learner,2,PASS,PASS,PASS,PASS,PASS,PASS,PASS (I),38,4
ASSISTments,learner,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS (empty),40,0
ASSISTments,temporal,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,35,1407
Junyi,learner,0,PASS,PASS,PASS,PASS (empty),PASS,PASS,PASS (empty),0,0
Junyi,learner,1,PASS,PASS,PASS,PASS (empty),PASS,PASS,PASS (empty),0,0
Junyi,learner,2,PASS,PASS,PASS,PASS (empty),PASS,PASS,PASS (empty),0,0
Junyi,learner,4,PASS,PASS,PASS,PASS (empty),PASS,PASS,PASS (empty),0,0
Junyi,temporal,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,6,2545
XES3G5M,learner,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS (I),122,4
XES3G5M,learner,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS (I),121,4
XES3G5M,learner,2,PASS,PASS,PASS,PASS,PASS,PASS,PASS (I),121,3
XES3G5M,learner,4,PASS,PASS,PASS,PASS,PASS,PASS,PASS (I),118,9
XES3G5M,temporal,0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,77,233214
