dataset,kc_id,level,n_full,n_keep,n_drop,feasible,rng_salt
assist2012,1,full,6609,6609,0,True,
assist2012,101,full,1963,1963,0,True,
assist2012,103,full,7682,7682,0,True,
assist2012,105,full,1730,1730,0,True,
assist2012,106,full,4715,4715,0,True,
assist2012,11,full,4532,4532,0,True,
assist2012,110,full,1168,1168,0,True,
assist2012,12,full,14585,14585,0,True,
assist2012,13,full,14293,14293,0,True,
assist2012,14,full,988,988,0,True,
assist2012,15,full,10426,10426,0,True,
assist2012,16,full,5123,5123,0,True,
assist2012,166,full,2075,2075,0,True,
assist2012,17,full,9860,9860,0,True,
assist2012,18,full,13547,13547,0,True,
assist2012,181,full,1175,1175,0,True,
assist2012,192,full,503,503,0,True,
assist2012,203,full,768,768,0,True,
assist2012,21,full,12153,12153,0,True,
assist2012,217,full,1487,1487,0,True,
assist2012,22,full,10075,10075,0,True,
assist2012,24,full,3700,3700,0,True,
assist2012,240,full,1231,1231,0,True,
assist2012,25,full,18704,18704,0,True,
assist2012,26,full,4517,4517,0,True,
assist2012,27,full,21551,21551,0,True,
assist2012,280,full,101027,101027,0,True,
assist2012,287,full,1770,1770,0,True,
assist2012,290,full,1127,1127,0,True,
assist2012,294,full,8566,8566,0,True,
assist2012,1,t500,6609,500,6109,True,1951289189.0
assist2012,101,t500,1963,500,1463,True,61057872.0
assist2012,103,t500,7682,500,7182,True,1534812496.0
assist2012,105,t500,1730,500,1230,True,494562558.0
assist2012,106,t500,4715,500,4215,True,514643032.0
assist2012,11,t500,4532,500,4032,True,1479370754.0
assist2012,110,t500,1168,500,668,True,227472440.0
assist2012,12,t500,14585,500,14085,True,671591247.0
assist2012,13,t500,14293,500,13793,True,830291612.0
assist2012,14,t500,988,500,488,True,280740104.0
assist2012,15,t500,10426,500,9926,True,1438090593.0
assist2012,16,t500,5123,500,4623,True,642882615.0
assist2012,166,t500,2075,500,1575,True,1288424964.0
assist2012,17,t500,9860,500,9360,True,667278596.0
assist2012,18,t500,13547,500,13047,True,753722574.0
assist2012,181,t500,1175,500,675,True,1300668819.0
assist2012,192,t500,503,500,3,True,1886951879.0
assist2012,203,t500,768,500,268,True,1915026209.0
assist2012,21,t500,12153,500,11653,True,381334983.0
assist2012,217,t500,1487,500,987,True,1683062895.0
assist2012,22,t500,10075,500,9575,True,660048191.0
assist2012,24,t500,3700,500,3200,True,1707495916.0
assist2012,240,t500,1231,500,731,True,600076667.0
assist2012,25,t500,18704,500,18204,True,1650169403.0
assist2012,26,t500,4517,500,4017,True,858949825.0
assist2012,27,t500,21551,500,21051,True,1781061778.0
assist2012,280,t500,101027,500,100527,True,936717231.0
assist2012,287,t500,1770,500,1270,True,1112984479.0
assist2012,290,t500,1127,500,627,True,532967141.0
assist2012,294,t500,8566,500,8066,True,2076551790.0
assist2012,1,t100,6609,100,6509,True,1878569277.0
assist2012,101,t100,1963,100,1863,True,2018709074.0
assist2012,103,t100,7682,100,7582,True,68574186.0
assist2012,105,t100,1730,100,1630,True,1977509744.0
assist2012,106,t100,4715,100,4615,True,1154076414.0
assist2012,11,t100,4532,100,4432,True,802352448.0
assist2012,110,t100,1168,100,1068,True,700395998.0
assist2012,12,t100,14585,100,14485,True,1353641890.0
assist2012,13,t100,14293,100,14193,True,1221691802.0
assist2012,14,t100,988,100,888,True,1058752740.0
assist2012,15,t100,10426,100,10326,True,1890190000.0
assist2012,16,t100,5123,100,5023,True,1854965180.0
assist2012,166,t100,2075,100,1975,True,180169470.0
assist2012,17,t100,9860,100,9760,True,705485041.0
assist2012,18,t100,13547,100,13447,True,40712729.0
assist2012,181,t100,1175,100,1075,True,1451243008.0
assist2012,192,t100,503,100,403,True,1043068330.0
assist2012,203,t100,768,100,668,True,1066994648.0
assist2012,21,t100,12153,100,12053,True,152789889.0
assist2012,217,t100,1487,100,1387,True,2019138777.0
assist2012,22,t100,10075,100,9975,True,1510143329.0
assist2012,24,t100,3700,100,3600,True,1577898335.0
assist2012,240,t100,1231,100,1131,True,1637084417.0
assist2012,25,t100,18704,100,18604,True,633733941.0
assist2012,26,t100,4517,100,4417,True,1598715889.0
assist2012,27,t100,21551,100,21451,True,1044508365.0
assist2012,280,t100,101027,100,100927,True,1841985268.0
assist2012,287,t100,1770,100,1670,True,333976275.0
assist2012,290,t100,1127,100,1027,True,352215651.0
assist2012,294,t100,8566,100,8466,True,1502691243.0
assist2012,1,t50,6609,50,6559,True,966527599.0
assist2012,101,t50,1963,50,1913,True,1683955052.0
assist2012,103,t50,7682,50,7632,True,1672502953.0
assist2012,105,t50,1730,50,1680,True,1512222012.0
assist2012,106,t50,4715,50,4665,True,1353534125.0
assist2012,11,t50,4532,50,4482,True,1486150793.0
assist2012,110,t50,1168,50,1118,True,1074336361.0
assist2012,12,t50,14585,50,14535,True,1144744480.0
assist2012,13,t50,14293,50,14243,True,1215552429.0
assist2012,14,t50,988,50,938,True,1362081836.0
assist2012,15,t50,10426,50,10376,True,1897056880.0
assist2012,16,t50,5123,50,5073,True,1786492135.0
assist2012,166,t50,2075,50,2025,True,1415421872.0
assist2012,17,t50,9860,50,9810,True,1072991239.0
assist2012,18,t50,13547,50,13497,True,151225681.0
assist2012,181,t50,1175,50,1125,True,695461014.0
assist2012,192,t50,503,50,453,True,1719796160.0
assist2012,203,t50,768,50,718,True,798874935.0
assist2012,21,t50,12153,50,12103,True,1332140336.0
assist2012,217,t50,1487,50,1437,True,2134283405.0
assist2012,22,t50,10075,50,10025,True,2043381035.0
assist2012,24,t50,3700,50,3650,True,648106278.0
assist2012,240,t50,1231,50,1181,True,1974787247.0
assist2012,25,t50,18704,50,18654,True,1190703179.0
assist2012,26,t50,4517,50,4467,True,1971134445.0
assist2012,27,t50,21551,50,21501,True,83250023.0
assist2012,280,t50,101027,50,100977,True,1073726853.0
assist2012,287,t50,1770,50,1720,True,1427098875.0
assist2012,290,t50,1127,50,1077,True,745604339.0
assist2012,294,t50,8566,50,8516,True,1992280388.0
junyi,+DlgHAr1GtoQgtGqwoen6pt4/ayVRO+rMaCVZ7jGCHE=,full,5021,5021,0,True,
junyi,+IgBffWedJpxG6Zo/kHbrgIRR4jwwTwa6nV03GLwX5A=,full,874,874,0,True,
junyi,+Lgj0Me9/8gtiruGKq8KxemAD15kU4yCfb6nteNDWjw=,full,947,947,0,True,
junyi,+N+e7SzcUVowUo7D4udR8rBKRmR1H7yuu5Tleqlhv48=,full,9820,9820,0,True,
junyi,+ZVl8HEbTM1GOoCTt2wxAfzQswvAWL3L8e5mLuyy1dY=,full,13846,13846,0,True,
junyi,+aXi8dpg0URdKkJtkicic7DrTHAWPSnR9bwD+QouANE=,full,11580,11580,0,True,
junyi,+c+5BQh1a2P75VjWgg/aX+j7kru6tteMWrupq+MMQgw=,full,11332,11332,0,True,
junyi,+cLbiKkV7+VhNPr7OGG3B3kPpZ8er0mvFvqPbM/gm+E=,full,11801,11801,0,True,
junyi,+fQqnCkVTMs8GPkdZJWUcApXC/Ea9bVtxNIblqLRie4=,full,3723,3723,0,True,
junyi,+g5YlvjiVYzjFfpMkHEGCty7PGcKRuuCVDY/g8dzoD0=,full,2019,2019,0,True,
junyi,+gP/fH6yBDlDTCmjUykZq+rykF0MopXNzQLSxiEVEYY=,full,2459,2459,0,True,
junyi,+kCFtC8nCf9I2/ee1BGgQRlVBoECQV9G/8z4fL7hzp4=,full,13042,13042,0,True,
junyi,+lmw480dBLSwkBgaKdL9MeVNsUfCgHmD+L4wzqUFX9M=,full,2152,2152,0,True,
