AUC,ACC,NLL,RMSE,ECE,Brier,REL,RES,n_events,n_pos,n_neg,dataset,model,level,seed,source
0.6897559190674085,0.7078596628773031,0.5947970784209986,0.44610643740675776,0.058128067139975634,0.19901095349574946,0.005402544589407074,0.021660250918337086,81632,55999,25633,assist2012,dkt,full,42,official
0.6933213865935197,0.7153584100526917,0.586785411943892,0.4424102587631697,0.0556284613058997,0.19572683705889476,0.004437507115669017,0.022313029528729204,84833,58580,26253,assist2012,dkt,full,2024,official
0.6867870353429526,0.7086500400689671,0.595555071869185,0.4462005165930345,0.06218111649325853,0.19909490100789085,0.005729531934888957,0.02082191564922029,82358,56705,25653,assist2012,dkt,full,2025,official
0.6681602481954358,0.6979248333986672,0.5893156804163397,0.4478514833482554,0.0391076745379421,0.20057095113723272,0.0020321824404194062,0.016628038810862326,81632,55999,25633,assist2012,dkt,t500,42,a9
0.631707840038137,0.6683653469227754,0.6207661417603677,0.462177628813627,0.06002295346812792,0.2136081605757868,0.008334722646510254,0.010096795842790773,81632,55999,25633,assist2012,dkt,t100,42,a9
0.6273522906585725,0.6761319090552724,0.6100581022345452,0.4582526138710998,0.04510563067127689,0.20999545811969528,0.0037574051767958598,0.009124357623620911,81632,55999,25633,assist2012,dkt,t50,42,a9
0.6787405901555106,0.6913832810662486,0.7064673039200441,0.4658120714939095,0.11562428578284023,0.2169808859494471,0.02070591904130869,0.01889871063002098,81632,55999,25633,assist2012,simplekt,full,42,official
0.6756555247512268,0.6929025261395919,0.7010957508964168,0.46529564511234706,0.11856250943039472,0.2165000373605152,0.020972465716196355,0.01811984265870594,84833,58580,26253,assist2012,simplekt,full,2024,official
0.6772587272019956,0.6915418052891037,0.6968724171436583,0.46518823775840623,0.11771780580611277,0.2164000965487715,0.020625352876582487,0.01860023893769322,82358,56705,25653,assist2012,simplekt,full,2025,official
0.6339873286926425,0.6254900039200314,0.7315466217682715,0.4984388588113915,0.1621795570943573,0.24844129597320225,0.04304939007553692,0.010100975215058941,81632,55999,25633,assist2012,simplekt,t500,42,a9
0.6269808686212286,0.655171991375931,0.7661875042005305,0.49566480549001735,0.16099137197965419,0.24568359940145673,0.039716111497068746,0.009458667760490702,81632,55999,25633,assist2012,simplekt,t100,42,a9
0.6072573397485592,0.6369928459427675,0.7505680240431017,0.49895698741176436,0.15803180280193066,0.2489580752870236,0.04019532229790888,0.006736438963812127,81632,55999,25633,assist2012,simplekt,t50,42,a9
0.7618883364002329,0.7589338919084851,0.5143886779595298,0.4093683904272371,0.04070996451435959,0.16758247908098683,0.0025692564792494607,0.03621126012844662,55379,39883,15496,junyi,dkt,full,42,official
0.7486855663342733,0.749158371040724,0.5298891216258447,0.41697045285659967,0.047691227591887334,0.17386435855543783,0.003189405772342537,0.03267203346556186,55250,39536,15714,junyi,dkt,full,2024,official
0.750500104787687,0.7506857277796952,0.5244543115889202,0.41461197115956966,0.0430881570840535,0.1719030866288238,0.0026028985047279627,0.03322209795842948,55051,39481,15570,junyi,dkt,full,2025,official
0.7705809352319397,0.7545820617923762,0.49902342498148883,0.4057861167224737,0.030305202250365676,0.16466237252470506,0.0015026210759358524,0.03804044016323784,55379,39883,15496,junyi,dkt,t500,42,a9
0.7522675588163007,0.7464742953104968,0.5145502588682297,0.4133442134235995,0.028837873191552725,0.17085343877077416,0.0016704717403184023,0.03204591930715097,55379,39883,15496,junyi,dkt,t100,42,a9
0.7401177750871222,0.7549070947471063,0.5193483090410336,0.41370333341131654,0.018906626319182357,0.17115044807563495,0.000686301246023059,0.030658841677570492,55379,39883,15496,junyi,dkt,t50,42,a9
0.7578536491954506,0.7567489481572437,0.556851680582492,0.4132114895210418,0.06555345379236288,0.17074373507219803,0.005422218043790038,0.03605726525018874,55379,39883,15496,junyi,simplekt,full,42,official
0.7548977077971135,0.757218440202965,0.5550070331705174,0.41329726691040963,0.06608509669898471,0.17081463083561438,0.0051809934240277565,0.035816032156459225,55379,39883,15496,junyi,simplekt,full,2024,official
0.7502496504314501,0.7506968325791855,0.5682761805954308,0.4184704753414782,0.0695183575865939,0.1751175387325227,0.005815946264033024,0.034035016103861254,55250,39536,15714,junyi,simplekt,full,2025,official
0.7084745321340087,0.692645226529912,0.9385624163044786,0.48412349905915986,0.1874536154270653,0.23437556234128434,0.054202570405870426,0.021098766629436272,55379,39883,15496,junyi,simplekt,t500,42,a9
0.7036866261797172,0.7028115350584156,1.0184233666087033,0.4842929533731898,0.19168518280554112,0.23453966468692658,0.053845071685943234,0.020502737060534296,55379,39883,15496,junyi,simplekt,t100,42,a9
0.6968817499886186,0.6917062424384695,0.9467981024949942,0.4888267404934351,0.1896825125807065,0.23895158222143614,0.056694507401618424,0.018893411060476994,55379,39883,15496,junyi,simplekt,t50,42,a9
0.8325674844369032,0.8523042474002199,0.3538503288834533,0.33095957776283286,0.03615165660057862,0.10953424211295261,0.002716330890555578,0.04284942055779147,99143,80884,18259,xes3g5m,dkt,full,42,official
0.8307260937569263,0.8507307626357887,0.35530722875480203,0.33186455327974146,0.03715248196162796,0.11013408172356237,0.00295182157422818,0.04247990100527221,99143,80884,18259,xes3g5m,dkt,full,2024,official
0.8323817742065909,0.849095576144066,0.3578988242941747,0.3334365972637221,0.03733200179855185,0.1111799643948096,0.003188301884125366,0.044877340800529616,99732,80873,18859,xes3g5m,dkt,full,2025,official
0.7953378726873188,0.8445881201900285,0.3766765023486391,0.3417860455832925,0.023246321451259946,0.11681770095546451,0.0010013698964366781,0.033929781290818195,99143,80884,18259,xes3g5m,dkt,t500,42,a9
0.7555760486229551,0.8399180981007232,0.40422488167235165,0.35261593683248693,0.03099205590810366,0.12433799890825241,0.0010934053037248484,0.026461872888626458,99143,80884,18259,xes3g5m,dkt,t100,42,a9
0.7462893063983201,0.8265636504846535,0.4220453248166217,0.3619876497909458,0.047449718055397855,0.1310350586011724,0.0037958309017965385,0.022634790325809232,99143,80884,18259,xes3g5m,dkt,t50,42,a9
0.7718015401986158,0.8287019759337523,0.5416909160422094,0.37077812061779925,0.10275372863282586,0.1374764147288673,0.01399369728913886,0.025772538518038214,99143,80884,18259,xes3g5m,simplekt,full,42,official
0.7771853422198535,0.8284699877954066,0.5324619069520204,0.3691963263091134,0.10060139855255212,0.13630592736014535,0.014002064741776923,0.026940857208625366,99143,80884,18259,xes3g5m,simplekt,full,2024,official
0.7760683443272129,0.8278486343400313,0.5436846934754312,0.370907583987141,0.10288056685728757,0.13757243585917808,0.01403144228734502,0.02878642807091121,99732,80873,18859,xes3g5m,simplekt,full,2025,official
0.7303458098867907,0.7917956890552031,0.7275664943146765,0.4151818147890489,0.14417246387535484,0.17237593933152812,0.038459441515383386,0.015665482352708482,99143,80884,18259,xes3g5m,simplekt,t500,42,a9
0.7246305186363123,0.8094973926550538,0.635126983841103,0.3916945283615173,0.12367446062869203,0.15342460354835147,0.022228818660155518,0.018287525143133847,99143,80884,18259,xes3g5m,simplekt,t100,42,a9
0.7232810124475928,0.7916443924432386,0.6929921664352082,0.4081125829626875,0.1429345675368153,0.16655588037247648,0.03352372211789637,0.016421239266681865,99143,80884,18259,xes3g5m,simplekt,t50,42,a9
