kc_id,train_freq,train_correct_rate,test_n,test_pos,test_neg,difficulty_proxy,in_official_preds,eligible,tert,selection_rule,dataset
1,6609,0.6622787108488425,2007,1314,693,0.3377212891511575,True,True,T2,difficulty_tertiles_top10_by_kc_id,assist2012
101,1963,0.5995924605196128,538,358,180,0.4004075394803872,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,assist2012
103,7682,0.8078625357979693,2149,1720,429,0.1921374642020307,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,assist2012
105,1730,0.7624277456647399,538,363,175,0.23757225433526008,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,assist2012
106,4715,0.7427359490986214,1360,1038,322,0.2572640509013786,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,assist2012
11,4532,0.6590909090909091,1211,787,424,0.34090909090909094,True,True,T2,difficulty_tertiles_top10_by_kc_id,assist2012
110,1168,0.8861301369863014,373,319,54,0.11386986301369861,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,assist2012
12,14585,0.6220774768597874,4089,2508,1581,0.3779225231402126,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,assist2012
13,14293,0.6705380256069404,3794,2569,1225,0.3294619743930596,True,True,T2,difficulty_tertiles_top10_by_kc_id,assist2012
14,988,0.812753036437247,287,244,43,0.18724696356275305,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,assist2012
15,10426,0.7709572223287934,2802,2150,652,0.22904277767120662,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,assist2012
16,5123,0.722623462814757,1484,1076,408,0.277376537185243,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,assist2012
166,2075,0.5253012048192771,643,343,300,0.4746987951807229,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,assist2012
17,9860,0.48296146044624744,3434,1535,1899,0.5170385395537526,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,assist2012
18,13547,0.7167638591570089,3966,2900,1066,0.2832361408429911,True,True,T2,difficulty_tertiles_top10_by_kc_id,assist2012
181,1175,0.6442553191489362,262,171,91,0.3557446808510638,True,True,T2,difficulty_tertiles_top10_by_kc_id,assist2012
192,503,0.6938369781312127,104,74,30,0.3061630218687873,True,True,T2,difficulty_tertiles_top10_by_kc_id,assist2012
203,768,0.4674479166666667,183,87,96,0.5325520833333333,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,assist2012
21,12153,0.6250308565786226,3209,2038,1171,0.37496914342137744,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,assist2012
217,1487,0.6173503698722259,415,262,153,0.3826496301277741,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,assist2012
22,10075,0.7185111662531017,2652,1901,751,0.28148883374689826,True,True,T2,difficulty_tertiles_top10_by_kc_id,assist2012
24,3700,0.8737837837837837,915,775,140,0.12621621621621626,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,assist2012
240,1231,0.5751421608448416,355,199,156,0.4248578391551584,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,assist2012
25,18704,0.811751497005988,5165,4174,991,0.18824850299401197,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,assist2012
26,4517,0.8020810272304627,1312,1041,271,0.1979189727695373,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,assist2012
27,21551,0.6968586144494455,6344,4385,1959,0.3031413855505545,True,True,T2,difficulty_tertiles_top10_by_kc_id,assist2012
280,101027,0.6820058004295881,28760,19702,9058,0.31799419957041186,True,True,T2,difficulty_tertiles_top10_by_kc_id,assist2012
287,1770,0.6310734463276836,422,281,141,0.3689265536723164,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,assist2012
290,1127,0.6983141082519965,307,227,80,0.30168589174800353,True,True,T2,difficulty_tertiles_top10_by_kc_id,assist2012
294,8566,0.5693439178146159,2552,1458,1094,0.4306560821853841,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,assist2012
+DlgHAr1GtoQgtGqwoen6pt4/ayVRO+rMaCVZ7jGCHE=,5021,0.4146584345747859,1663,686,977,0.5853415654252141,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,junyi
+IgBffWedJpxG6Zo/kHbrgIRR4jwwTwa6nV03GLwX5A=,874,0.45080091533180777,322,150,172,0.5491990846681922,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,junyi
+Lgj0Me9/8gtiruGKq8KxemAD15kU4yCfb6nteNDWjw=,947,0.6853220696937699,314,197,117,0.31467793030623015,True,True,T2,difficulty_tertiles_top10_by_kc_id,junyi
+N+e7SzcUVowUo7D4udR8rBKRmR1H7yuu5Tleqlhv48=,9820,0.6470468431771894,2729,1737,992,0.3529531568228106,True,True,T2,difficulty_tertiles_top10_by_kc_id,junyi
+ZVl8HEbTM1GOoCTt2wxAfzQswvAWL3L8e5mLuyy1dY=,13846,0.6632962588473206,3856,2525,1331,0.3367037411526794,True,True,T2,difficulty_tertiles_top10_by_kc_id,junyi
+aXi8dpg0URdKkJtkicic7DrTHAWPSnR9bwD+QouANE=,11580,0.8380829015544041,3147,2702,445,0.16191709844559588,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,junyi
+c+5BQh1a2P75VjWgg/aX+j7kru6tteMWrupq+MMQgw=,11332,0.8077126720790682,3118,2529,589,0.19228732792093184,True,True,T1_easier,difficulty_tertiles_top10_by_kc_id,junyi
+cLbiKkV7+VhNPr7OGG3B3kPpZ8er0mvFvqPbM/gm+E=,11801,0.3140411829505974,2974,890,2084,0.6859588170494026,True,True,T3_harder,difficulty_tertiles_top10_by_kc_id,junyi
+fQqnCkVTMs8GPkdZJWUcApXC/Ea9bVtxNIblqLRie4=,3723,0.6621004566210046,1023,705,318,0.3378995433789954,True,True,T2,difficulty_tertiles_top10_by_kc_id,junyi
+g5YlvjiVYzjFfpMkHEGCty7PGcKRuuCVDY/g8dzoD0=,2019,0.605250123823675,617,393,224,0.39474987617632495,True,True,T2,difficulty_tertiles_top10_by_kc_id,junyi
+gP/fH6yBDlDTCmjUykZq+rykF0MopXNzQLSxiEVEYY=,2459,0.6913379422529483,688,482,206,0.3086620577470517,True,True,T2,difficulty_tertiles_top10_by_kc_id,junyi
