model,bucket,flag,n_kcs,n_events,AUC,ECE,REL,RES,ACC,NLL,RMSE,Brier
dkt,all,R,260,534150,0.6989399535313159,0.05996448270908787,0.005228792720359337,0.022966824457843413,0.7186314705607039,0.5803353995860621,0.43923278524425124,0.19292543963342254
dkt,dense,R,147,528018,0.6977559101398016,0.05890387131446633,0.0050396819368708975,0.022461412800525212,0.7189849588460999,0.5780414335979488,0.43877508500722284,0.19252357522309566
dkt,medium,R,68,5677,0.759269759624147,0.15022649112810504,0.02623774097011523,0.048296577304472094,0.6885679055839352,0.7555889365684446,0.4747207393163644,0.22535978033707557
dkt,sparse,L,38,444,0.7259499784212582,0.23426983637281545,0.061549894479459105,0.04787783783000534,0.6779279279279279,1.079184069857949,0.509891595097311,0.25998943875088015
dkt,very_sparse,I,7,11,1.0,0.08353434641718527,0.03703789972168348,0.2479338842975206,0.9090909090909091,0.11235304158410538,0.19250838592147568,0.037059478650091814
simplekt,all,R,260,534150,0.6837029867791296,0.11752685981230697,0.020589968948212203,0.019153611897050827,0.6994795469437424,0.698541970290002,0.46055422369044885,0.212110192959112
simplekt,dense,R,147,528018,0.6823690269501486,0.11716264227310881,0.02060461737442913,0.01869062960192573,0.6995651663390263,0.6970703604619257,0.4603078115679461,0.21188328139047177
simplekt,medium,R,68,5677,0.7514731136907007,0.15695336706051463,0.028554596658075384,0.04555874407844976,0.6908578474546415,0.8064275545691442,0.4801432564689727,0.2305375467326297
simplekt,sparse,L,38,444,0.7450831295341046,0.21035098095404234,0.04951358685673234,0.050161713070674664,0.7072072072072072,1.0676522205392605,0.4956341425197569,0.2456532032312947
simplekt,very_sparse,I,7,11,0.8333333333333334,0.3007737187363091,0.12668104668944866,0.13429752066115702,0.7272727272727273,0.7608206191756905,0.49002976159383027,0.2401291672477061
gkt_train_only,all,R,260,534150,0.7155309836943473,0.03652968278560809,0.0014917747463016834,0.026971273360824194,0.7297687915379575,0.5521562377441191,0.43018002616277107,0.1850548549094024
gkt_train_only,dense,R,147,528018,0.7136715168396811,0.03674102076425295,0.0015032488151800795,0.026221285038232386,0.7298273922479915,0.5523120170453985,0.43023518845721337,0.1851023173868139
gkt_train_only,medium,R,68,5677,0.801863552258441,0.030335442716397196,0.0012798358090169062,0.06886165722284954,0.7262638717632552,0.5373854618767272,0.42475611502638155,0.1804177572523047
gkt_train_only,sparse,L,38,444,0.7829178569226659,0.09805371486456008,0.012503021865205983,0.06764889078528503,0.6981981981981982,0.5619620396371275,0.43657822284713854,0.19060054466436574
gkt_train_only,very_sparse,I,7,11,1.0,0.2509969879280437,0.07598521429747009,0.2479338842975206,1.0,0.30176018827300355,0.27585868488563187,0.07609801402683035
gkt_full_log,all,R,260,534150,0.7301593091236388,0.011921561809726906,0.0001530278988853702,0.030849867548887477,0.7351212206309089,0.5377710852372879,0.42403243864780454,0.1798035090256041
gkt_full_log,dense,R,147,528018,0.7285354025728044,0.012005601407278584,0.00015436764221169336,0.03014554858212656,0.7352306171380522,0.5377826246676314,0.4240244380231726,0.17979672404086733
gkt_full_log,medium,R,68,5677,0.8018886781315651,0.02595867457579291,0.0010941736428215683,0.06817661153634041,0.7262638717632552,0.5375018828554111,0.425023223666833,0.18064474065614672
gkt_full_log,sparse,L,38,444,0.8004480157833084,0.07064312908731334,0.008426491022246973,0.07462990936588591,0.713963963963964,0.5327242540234802,0.42358057468182536,0.1794205032477854
gkt_full_log,very_sparse,I,7,11,1.0,0.266445128755136,0.08664890576601998,0.2479338842975206,0.9090909090909091,0.3265009079465377,0.2946207529525641,0.08680138807033583
cl4kt,all,R,260,534150,0.7207242591633786,0.009473162103226572,0.00011813764953177175,0.02803807727573809,0.7294224468782178,0.5445966747261675,0.42734477574336127,0.18262355735514374
cl4kt,dense,R,147,528018,0.7190830174215702,0.009313377084893167,0.00011546881465318116,0.027332725143351225,0.7295527803976379,0.5445432407873884,0.42732279385093824,0.18260477014457147
cl4kt,medium,R,68,5677,0.8005351935979776,0.04184920179365793,0.0026985191972053193,0.06841401014786125,0.7186894486524573,0.5423269711091716,0.4272163613266721,0.18251381938520167
cl4kt,sparse,L,38,444,0.7611747056043076,0.11878634345201725,0.01955474198556492,0.058673652171413605,0.7117117117117117,0.6374714381810502,0.45470287339728915,0.20675470307575117
cl4kt,very_sparse,I,7,11,0.9333333333333333,0.2741076660088517,0.10464097511648279,0.17975206611570246,0.7272727272727273,0.5321233970862385,0.40872287102168514,0.16705438529620908
