dataset,model,seed,fold,tau,sparse_n,sparse_flag,sparse_n_advance,dense_n,FM_sparse,FM_dense,dFM,Miss_sparse,Miss_dense,dMiss,excess_FM_sparse,excess_FM_dense
assist2012,dkt,42,0,0.7,444,L,243,528018,0.2962962962962963,0.1999239664185015,0.09637232987779479,0.36548223350253806,0.39783637933969224,-0.03235414583715418,0.23891981908813914,0.05276272307593377
assist2012,simplekt,42,0,0.7,444,L,235,528018,0.2680851063829787,0.19632745510435204,0.07175765127862668,0.3197969543147208,0.3519098743561779,-0.03211292004145705,0.21818009691035492,0.08382290727762831
assist2012,dkt,2024,1,0.7,439,L,234,536773,0.27350427350427353,0.2024643077499225,0.07103996575435104,0.35359116022099446,0.4076200482046845,-0.054028887983690044,0.22008379733460584,0.054169459308354234
assist2012,simplekt,2024,1,0.7,439,L,246,536773,0.2845528455284553,0.19788978665200163,0.08666305887645365,0.3867403314917127,0.3469192262530128,0.039821105238699916,0.22144417355700236,0.08341481194644147
assist2012,dkt,2025,2,0.7,402,L,217,521520,0.19815668202764977,0.20138080659852242,-0.0032241245708726496,0.3115942028985507,0.4070302611897365,-0.09543605829118579,0.14455499901749572,0.05288746771571842
assist2012,simplekt,2025,2,0.7,402,L,213,521520,0.20657276995305165,0.19654401632346533,0.010028753629586329,0.3188405797101449,0.35466446771244836,-0.03582388800230346,0.15680129259405,0.08363323835403762
assist2012,dkt,2026,3,0.7,402,L,239,521520,0.21338912133891214,0.2010198232474347,0.012369298091477438,0.3695652173913043,0.40798910750584894,-0.03842389011454461,0.1801472161604271,0.05524587349014659
assist2012,simplekt,2026,3,0.7,402,L,224,521520,0.21428571428571427,0.19436830827583537,0.019917406009878902,0.34782608695652173,0.3531239212978944,-0.005297834341372654,0.16101601560200962,0.07763356318158415
assist2012,dkt,2027,4,0.7,376,L,199,509574,0.19095477386934673,0.20161529801432557,-0.010660524144978839,0.3089430894308943,0.40264327515868775,-0.09370018572779343,0.1446690196967005,0.05573787998002844
assist2012,simplekt,2027,4,0.7,376,L,219,509574,0.2420091324200913,0.19305397335954194,0.04895515906054937,0.43089430894308944,0.3379495066668404,0.09294480227624902,0.20047914437507386,0.07533227239488571
junyi,dkt,42,0,0.7,0,empty,0,0,,,,,,,,
junyi,simplekt,42,0,0.7,0,empty,0,0,,,,,,,,
junyi,dkt,2024,1,0.7,0,empty,0,0,,,,,,,,
junyi,simplekt,2024,1,0.7,0,empty,0,0,,,,,,,,
junyi,dkt,2025,2,0.7,0,empty,0,0,,,,,,,,
junyi,simplekt,2025,2,0.7,0,empty,0,0,,,,,,,,
junyi,dkt,2026,3,0.7,0,empty,0,0,,,,,,,,
junyi,simplekt,2026,3,0.7,0,empty,0,0,,,,,,,,
junyi,dkt,2027,4,0.7,0,empty,0,0,,,,,,,,
junyi,simplekt,2027,4,0.7,0,empty,0,0,,,,,,,,
xes3g5m,dkt,42,0,0.7,2164,R,1619,1573737,0.11488573193329216,0.11012044264199393,0.0047652892912982275,0.34896810506566606,0.19327412483859546,0.1556939802270706,0.08707106875519166,0.02599142919432121
xes3g5m,simplekt,42,0,0.7,2164,R,1624,1573737,0.12130541871921183,0.1373257695534095,-0.016020350834197672,0.3696060037523452,0.2514906447955304,0.1181153589568148,0.09441161875067086,0.09333658238267467
xes3g5m,dkt,2024,1,0.7,2121,R,1562,1573913,0.11267605633802817,0.11019103920793455,0.0024850171300936225,0.3333333333333333,0.1928893434927765,0.1404439898405568,0.08338334038376656,0.024858458888166138
xes3g5m,simplekt,2024,1,0.7,2121,R,1605,1573913,0.12834890965732088,0.1377578835055802,-0.009408973848259311,0.39015151515151514,0.25304309418347437,0.13710842096804077,0.10027379465994435,0.09360178359759636
xes3g5m,dkt,2025,2,0.7,2018,R,1493,1574936,0.10314802411252512,0.11061944153975173,-0.007471417427226609,0.32489451476793246,0.188987018683968,0.13590749608396446,0.07248926150742906,0.023922872564625206
xes3g5m,simplekt,2025,2,0.7,2018,R,1494,1574936,0.11847389558232932,0.14008290100592696,-0.021609005423597644,0.37341772151898733,0.2527987038140907,0.12061901770489664,0.09041446471310045,0.09634817559790596
xes3g5m,dkt,2026,3,0.7,1907,R,1449,1576609,0.13043478260869565,0.11344452941261345,0.016990253196082203,0.390495867768595,0.1939845834464139,0.19651128432218112,0.11276921557919414,0.027504111858875954
xes3g5m,simplekt,2026,3,0.7,1907,R,1428,1576609,0.12464985994397759,0.13864346988699727,-0.01399360994301968,0.3677685950413223,0.24560043140972998,0.12216816363159233,0.0965618631001614,0.09039296752901221
xes3g5m,dkt,2027,4,0.7,1792,R,1290,1576446,0.11705426356589148,0.11243072789356819,0.004623535672323292,0.334070796460177,0.1912438902250654,0.1428269062351116,0.09839767467143924,0.026332511620058216
xes3g5m,simplekt,2027,4,0.7,1792,R,1266,1576446,0.11058451816745656,0.13986153364086007,-0.029277015473403514,0.30973451327433627,0.24870575041789802,0.06102876285643824,0.0867939665795879,0.09222618081043374
