dataset,model,role,tau,sparse_n,sparse_flag,dense_n,dense_flag,FM_sparse,FM_dense,dFM,Miss_sparse,Miss_dense,dMiss,UR_sparse,UR_dense,dUR
assist2012,dkt,primary,0.5,444,L,528018,R,0.31560283687943264,0.2466446876705168,0.06895814920891583,0.4517766497461929,0.6782118608272445,-0.22643521108105158,0.21862348178137653,0.11045357950161751,0.10816990227975902
assist2012,dkt,primary,0.6,444,L,528018,R,0.31417624521072796,0.22470266471969635,0.0894735804910316,0.41624365482233505,0.5422921013976536,-0.12604844657531855,0.27530364372469635,0.19653216746301386,0.07877147626168249
assist2012,dkt,primary,0.7,444,L,528018,R,0.2962962962962963,0.1999239664185015,0.09637232987779479,0.36548223350253806,0.39783637933969224,-0.03235414583715418,0.3076923076923077,0.31633075704868774,-0.008638449356380029
assist2012,dkt,primary,0.8,444,L,528018,R,0.27149321266968324,0.16814820482583862,0.10334500784384462,0.30456852791878175,0.2355207000245866,0.06904782789419514,0.3481781376518219,0.49966837666996033,-0.15149023901813846
assist2012,simplekt,primary,0.5,444,L,528018,R,0.2872727272727273,0.23378401592546558,0.053488711347261714,0.4010152284263959,0.5834084590507052,-0.18239323062430923,0.20647773279352227,0.17892229185560174,0.027555440937920533
assist2012,simplekt,primary,0.6,444,L,528018,R,0.27459016393442626,0.21474868997033125,0.059841473964095004,0.3401015228426396,0.4645291035978389,-0.12442758075519927,0.2834008097165992,0.2705992230539125,0.012801586662686715
assist2012,simplekt,primary,0.7,444,L,528018,R,0.2680851063829787,0.19632745510435204,0.07175765127862668,0.3197969543147208,0.3519098743561779,-0.03211292004145705,0.30364372469635625,0.38140743648398057,-0.07776371178762431
assist2012,simplekt,primary,0.8,444,L,528018,R,0.26146788990825687,0.17731741736566828,0.08415047254258859,0.2893401015228426,0.240015634554888,0.04932446696795462,0.3481781376518219,0.5218154008581599,-0.17363726320633804
assist2012,irt_1pl,other,0.5,444,L,528018,R,0.4436936936936937,0.30041210716301336,0.14328158653068035,1.0,1.0,0.0,0.0,0.0,0.0
assist2012,irt_1pl,other,0.6,444,L,528018,R,0.4436936936936937,0.30041210716301336,0.14328158653068035,1.0,1.0,0.0,0.0,0.0,0.0
assist2012,irt_1pl,other,0.7,444,L,528018,R,,,,0.0,0.0,0.0,1.0,1.0,0.0
assist2012,irt_1pl,other,0.8,444,L,528018,R,,,,0.0,0.0,0.0,1.0,1.0,0.0
assist2012,gkt_train_only,secondary,0.5,444,L,528018,R,0.31715210355987056,0.2554462365475423,0.061705867012328275,0.49746192893401014,0.7465436916462304,-0.2490817627122202,0.145748987854251,0.06561269102180593,0.08013629683244507
assist2012,gkt_train_only,secondary,0.6,444,L,528018,R,0.27586206896551724,0.23265533842831515,0.04320673053720209,0.36548223350253806,0.6099115512882747,-0.24442931778573662,0.23481781376518218,0.13618754991269508,0.0986302638524871
