dataset,model,role,tau,bucket,flag,n_kcs,n_events,mean_y,mean_p,n_advance,n_remediate,FM,Miss,UR,acc_at_tau,E_FM_calibrated,excess_FM
assist2012,dkt,primary,0.5,all,R,260,534150,0.697790882710849,0.7023989986502698,439598,94552,0.24700521840408737,0.6726529347994424,0.11190556039975853,0.7186314705607039,0.21480544448857208,0.03219977391551529
assist2012,dkt,primary,0.5,dense,R,147,528018,0.6995878928369866,0.7042337834997361,436174,91844,0.2466446876705168,0.6782118608272445,0.11045357950161751,0.7189849588460999,0.21529533492660483,0.031349352743911985
assist2012,dkt,primary,0.5,medium,R,68,5677,0.5421877752333979,0.539437141980244,3136,2541,0.2911352040816326,0.35128895729126586,0.2777777777777778,0.6885679055839352,0.15653651397751303,0.1345986901041196
assist2012,dkt,primary,0.5,sparse,L,38,444,0.5563063063063063,0.6082433457689439,282,162,0.31560283687943264,0.4517766497461929,0.21862348178137653,0.6779279279279279,0.1079570860304731,0.20764575084895953
assist2012,dkt,primary,0.5,very_sparse,I,7,11,0.45454545454545453,0.5333211395191029,6,5,0.16666666666666666,0.16666666666666666,0.0,0.9090909090909091,0.0789939860502879,0.08767268061637876
assist2012,dkt,primary,0.5,strict_cold_start,I,0,0,,,0,0,,,,,,
assist2012,dkt,primary,0.6,all,R,260,534150,0.697790882710849,0.7023989986502698,385837,148313,0.2250484012678929,0.5379092457797738,0.19778657186934068,0.6994252550781616,0.18167757069862142,0.04337083056927149
assist2012,dkt,primary,0.6,dense,R,147,528018,0.6995878928369866,0.7042337834997361,382817,145201,0.22470266471969635,0.5422921013976536,0.19653216746301386,0.6995973622111368,0.18223267686876268,0.04246998785093367
assist2012,dkt,primary,0.6,medium,R,68,5677,0.5421877752333979,0.539437141980244,2754,2923,0.26506899055918665,0.2808772604848018,0.3424301494476933,0.6857495155892197,0.11468585570306992,0.1503831348561167
assist2012,dkt,primary,0.6,sparse,L,38,444,0.5563063063063063,0.6082433457689439,261,183,0.31417624521072796,0.41624365482233505,0.27530364372469635,0.6621621621621622,0.077743929236328,0.23643231597439995
assist2012,dkt,primary,0.6,very_sparse,I,7,11,0.45454545454545453,0.5333211395191029,5,6,0.0,0.0,0.0,1.0,0.005234527587890647,-0.005234527587890647
assist2012,dkt,primary,0.6,strict_cold_start,I,0,0,,,0,0,,,,,,
assist2012,dkt,primary,0.7,all,R,260,534150,0.697790882710849,0.7023989986502698,318357,215793,0.20035054985440873,0.3951246708997987,0.316992420685492,0.6593953009454273,0.14662404897536455,0.05372650087904418
assist2012,dkt,primary,0.7,dense,R,147,528018,0.6995878928369866,0.7042337834997361,315650,212368,0.1999239664185015,0.39783637933969224,0.31633075704868774,0.6591839672132389,0.14716124334256772,0.05276272307593377
assist2012,dkt,primary,0.7,medium,R,68,5677,0.5421877752333979,0.539437141980244,2459,3218,0.24603497356649046,0.23278183916891113,0.39766081871345027,0.6778227937290823,0.08677399022737234,0.15926098333911812
assist2012,dkt,primary,0.7,sparse,L,38,444,0.5563063063063063,0.6082433457689439,243,201,0.2962962962962963,0.36548223350253806,0.3076923076923077,0.6666666666666666,0.05737647720815713,0.23891981908813914
assist2012,dkt,primary,0.7,very_sparse,I,7,11,0.45454545454545453,0.5333211395191029,5,6,0.0,0.0,0.0,1.0,0.005234527587890647,-0.005234527587890647
assist2012,dkt,primary,0.7,strict_cold_start,I,0,0,,,0,0,,,,,,
assist2012,dkt,primary,0.8,all,R,260,534150,0.697790882710849,0.7023989986502698,224500,309650,0.16875723830734968,0.23469722781477467,0.4993252397880475,0.5806477581203782,0.10438972155925691,0.06436751674809277
assist2012,dkt,primary,0.8,dense,R,147,528018,0.6995878928369866,0.7042337834997361,222179,305839,0.16814820482583862,0.2355207000245866,0.49966837666996033,0.5796847834732907,0.1048848652045143,0.06326333962132431
assist2012,dkt,primary,0.8,medium,R,68,5677,0.5421877752333979,0.539437141980244,2095,3582,0.22291169451073986,0.17968449403616776,0.4710851202079272,0.6623216487581469,0.0590757182503657,0.16383597626037416
assist2012,dkt,primary,0.8,sparse,L,38,444,0.5563063063063063,0.6082433457689439,221,223,0.27149321266968324,0.30456852791878175,0.3481781376518219,0.6711711711711712,0.038408241660346815,0.23308497100933642
assist2012,dkt,primary,0.8,very_sparse,I,7,11,0.45454545454545453,0.5333211395191029,5,6,0.0,0.0,0.0,1.0,0.005234527587890647,-0.005234527587890647
assist2012,dkt,primary,0.8,strict_cold_start,I,0,0,,,0,0,,,,,,
assist2012,simplekt,primary,0.5,all,R,260,534150,0.697790882710849,0.6724151156613254,399358,134792,0.23432108534197388,0.5796995508750193,0.17960963176604736,0.6994795469437424,0.19247109974525958,0.041849985596714295
assist2012,simplekt,primary,0.5,dense,R,147,528018,0.6995878928369866,0.6737531741171788,395844,132174,0.23378401592546558,0.5834084590507052,0.17892229185560174,0.6995651663390263,0.19289741172673294,0.040886604198732635
assist2012,simplekt,primary,0.5,medium,R,68,5677,0.5421877752333979,0.5537588434041981,3231,2446,0.29526462395543174,0.367064255482878,0.260233918128655,0.6908578474546415,0.14774831398025604,0.1475163099751757
assist2012,simplekt,primary,0.5,sparse,L,38,444,0.5563063063063063,0.5974524709266361,275,169,0.2872727272727273,0.4010152284263959,0.20647773279352227,0.7072072072072072,0.10682576721364802,0.1804469600590793
assist2012,simplekt,primary,0.5,very_sparse,I,7,11,0.45454545454545453,0.7066080359436455,8,3,0.375,0.5,0.0,0.7272727272727273,0.10481450706720355,0.2701854929327965
assist2012,simplekt,primary,0.5,strict_cold_start,I,0,0,,,0,0,,,,,,
assist2012,simplekt,primary,0.6,all,R,260,534150,0.697790882710849,0.6724151156613254,346254,187896,0.21528415556210181,0.4617810128542667,0.2710148232611174,0.6713338949733221,0.1524612151065114,0.06282294045559042
assist2012,simplekt,primary,0.6,dense,R,147,528018,0.6995878928369866,0.6737531741171788,343122,184896,0.21474868997033125,0.4645291035978389,0.2705992230539125,0.6711418928900151,0.1528863032906609,0.06186238667967034
assist2012,simplekt,primary,0.6,medium,R,68,5677,0.5421877752333979,0.5537588434041981,2880,2797,0.27361111111111114,0.30319353597537513,0.3203378817413905,0.6875110093359169,0.10971529705242979,0.16389581405868137
assist2012,simplekt,primary,0.6,sparse,L,38,444,0.5563063063063063,0.5974524709266361,244,200,0.27459016393442626,0.3401015228426396,0.2834008097165992,0.6914414414414415,0.06079035337831154,0.21379981055611472
assist2012,simplekt,primary,0.6,very_sparse,I,7,11,0.45454545454545453,0.7066080359436455,8,3,0.375,0.5,0.0,0.7272727272727273,0.10481450706720355,0.2701854929327965
assist2012,simplekt,primary,0.6,strict_cold_start,I,0,0,,,0,0,,,,,,
assist2012,simplekt,primary,0.7,all,R,260,534150,0.697790882710849,0.6724151156613254,287164,246986,0.1969536571436531,0.35036704351866194,0.3812972030317258,0.6280501731723299,0.11218732593554902,0.08476633120810408
assist2012,simplekt,primary,0.7,dense,R,147,528018,0.6995878928369866,0.6737531741171788,284326,243692,0.19632745510435204,0.3519098743561779,0.38140743648398057,0.6274539883110045,0.11250454782672373,0.08382290727762831
assist2012,simplekt,primary,0.7,medium,R,68,5677,0.5421877752333979,0.5537588434041981,2595,3082,0.2585741811175337,0.2581762216237014,0.37491877842755034,0.6785273912277612,0.08309325868683744,0.1754809224306963
assist2012,simplekt,primary,0.7,sparse,L,38,444,0.5563063063063063,0.5974524709266361,235,209,0.2680851063829787,0.3197969543147208,0.30364372469635625,0.6891891891891891,0.049905009472623794,0.21818009691035492
assist2012,simplekt,primary,0.7,very_sparse,I,7,11,0.45454545454545453,0.7066080359436455,8,3,0.375,0.5,0.0,0.7272727272727273,0.10481450706720355,0.2701854929327965
assist2012,simplekt,primary,0.7,strict_cold_start,I,0,0,,,0,0,,,,,,
assist2012,simplekt,primary,0.8,all,R,260,534150,0.697790882710849,0.6724151156613254,217141,317009,0.17806402291598547,0.23952299829642248,0.5211590314575089,0.563953945520921,0.06804359788701758,0.11002042502896789
assist2012,simplekt,primary,0.8,dense,R,147,528018,0.6995878928369866,0.6737531741171788,214711,313307,0.17731741736566828,0.240015634554888,0.5218154008581599,0.5628406607350507,0.06822162073505375,0.10909579663061453
assist2012,simplekt,primary,0.8,medium,R,68,5677,0.5421877752333979,0.5537588434041981,2206,3471,0.24206708975521304,0.2054636398614852,0.4567901234567901,0.6582702131407433,0.05407210687345953,0.1879949828817535
assist2012,simplekt,primary,0.8,sparse,L,38,444,0.5563063063063063,0.5974524709266361,218,226,0.26146788990825687,0.2893401015228426,0.3481781376518219,0.6779279279279279,0.03436237354891017,0.2271055163593467
assist2012,simplekt,primary,0.8,very_sparse,I,7,11,0.45454545454545453,0.7066080359436455,6,5,0.3333333333333333,0.3333333333333333,0.2,0.7272727272727273,0.058068990707397496,0.2752643426259358
assist2012,simplekt,primary,0.8,strict_cold_start,I,0,0,,,0,0,,,,,,
assist2012,irt_1pl,other,0.5,all,R,260,534150,0.697790882710849,0.6961533161397051,534150,0,0.302209117289151,1.0,0.0,0.697790882710849,0.30384668386029484,-0.0016375665711438336
assist2012,irt_1pl,other,0.5,dense,R,147,528018,0.6995878928369866,0.6961533161397051,528018,0,0.30041210716301336,1.0,0.0,0.6995878928369866,0.3038466838602949,-0.003434576697281533
assist2012,irt_1pl,other,0.5,medium,R,68,5677,0.5421877752333979,0.6961533161397052,5677,0,0.4578122247666021,1.0,0.0,0.5421877752333979,0.3038466838602948,0.15396554090630732
assist2012,irt_1pl,other,0.5,sparse,L,38,444,0.5563063063063063,0.6961533161397052,444,0,0.4436936936936937,1.0,0.0,0.5563063063063063,0.30384668386029473,0.13984700983339898
assist2012,irt_1pl,other,0.5,very_sparse,I,7,11,0.45454545454545453,0.6961533161397052,11,0,0.5454545454545454,1.0,0.0,0.45454545454545453,0.30384668386029484,0.24160786159425057
assist2012,irt_1pl,other,0.5,strict_cold_start,I,0,0,,,0,0,,,,,,
