dataset,model,seed,fold,bucket,n_kcs,n_events,auc,acc,nll,rmse,ece,brier,uncertainty,reliability,resolution
assist2012,irt_1pl,42,0,dense,147,528018,0.5,0.6995878928369866,0.6112410190997554,0.4584500729086878,0.003434576697281533,0.21017646934998113,0.21016467303289155,1.1796317089509321e-05,0.0
assist2012,irt_1pl,42,0,medium,68,5677,0.5,0.5421877752333979,0.7417330629450973,0.5214648400490949,0.15396554090630732,0.27192557940742806,0.2482201916208563,0.02370538778657179,0.0
assist2012,irt_1pl,42,0,sparse,38,444,0.5,0.5563063063063063,0.7300281417299953,0.5161267150898926,0.13984700983339893,0.2663867860294832,0.24682959987014041,0.019557186159342776,0.0
assist2012,irt_1pl,42,0,very_sparse,7,11,0.5,0.45454545454545453,0.8143926373344997,0.553451211112296,0.24160786159425068,0.3063082430816672,0.24793388429752064,0.0583743587841466,0.0
assist2012,dkt,42,0,dense,147,528018,0.6977559101398016,0.7189849588460999,0.5780414335979488,0.43877508500722284,0.05890387131446633,0.19252357522309566,0.21016467303289155,0.0050396819368708975,0.022461412800525212
assist2012,dkt,42,0,medium,68,5677,0.759269759624147,0.6885679055839352,0.7555889365684446,0.4747207393163644,0.15022649112810504,0.22535978033707557,0.2482201916208563,0.02623774097011523,0.048296577304472094
assist2012,dkt,42,0,sparse,38,444,0.7259499784212582,0.6779279279279279,1.079184069857949,0.509891595097311,0.23426983637281545,0.25998943875088015,0.24682959987014041,0.061549894479459105,0.04787783783000534
assist2012,dkt,42,0,very_sparse,7,11,1.0,0.9090909090909091,0.11235304158410538,0.19250838592147568,0.08353434641718527,0.037059478650091814,0.24793388429752064,0.03703789972168348,0.2479338842975206
assist2012,simplekt,42,0,dense,147,528018,0.6823690269501486,0.6995651663390263,0.6970703604619257,0.4603078115679461,0.11716264227310881,0.21188328139047177,0.21016467303289155,0.02060461737442913,0.01869062960192573
assist2012,simplekt,42,0,medium,68,5677,0.7514731136907007,0.6908578474546415,0.8064275545691442,0.4801432564689727,0.15695336706051463,0.2305375467326297,0.2482201916208563,0.028554596658075384,0.04555874407844976
assist2012,simplekt,42,0,sparse,38,444,0.7450831295341046,0.7072072072072072,1.0676522205392605,0.4956341425197569,0.21035098095404234,0.2456532032312947,0.24682959987014041,0.04951358685673234,0.050161713070674664
assist2012,simplekt,42,0,very_sparse,7,11,0.8333333333333334,0.7272727272727273,0.7608206191756905,0.49002976159383027,0.3007737187363091,0.2401291672477061,0.24793388429752064,0.12668104668944866,0.13429752066115702
assist2012,irt_1pl,2024,1,dense,148,536773,0.5,0.6985504114402178,0.6121007327050205,0.4588935694172331,0.002360918373988663,0.2105833080524889,0.21057773411692024,5.573935568637272e-06,0.0
assist2012,irt_1pl,2024,1,medium,67,5523,0.5,0.5565815679884121,0.7298238117976416,0.5160318778026277,0.13960792507781694,0.26628889890850604,0.24679852616397271,0.019490372744533347,0.0
assist2012,irt_1pl,2024,1,sparse,39,439,0.5,0.5876993166287016,0.7040204235661336,0.5040624447886438,0.10849017643752745,0.2540789482463046,0.24230882986285876,0.011770118383445837,0.0
assist2012,irt_1pl,2024,1,very_sparse,6,13,0.5,0.38461538461538464,0.8724212163707897,0.577723822937468,0.3115741084508444,0.33376481558948295,0.2366863905325444,0.09707842505693853,0.0
assist2012,dkt,2024,1,dense,148,536773,0.6974184713753261,0.7192518997788637,0.5781982207573375,0.43893274274159677,0.05859380190565899,0.19266195265066077,0.21057773411692024,0.004807472764349454,0.02253924026393136
assist2012,dkt,2024,1,medium,67,5523,0.7751544653415028,0.7122940430925222,0.712988009461298,0.45952592319560914,0.1333006503059296,0.21116407408877685,0.24679852616397271,0.020175717538293572,0.05489301177860837
assist2012,dkt,2024,1,sparse,39,439,0.7254057989635531,0.683371298405467,1.134134913278122,0.5057643109664113,0.2431799031323626,0.2557975382473288,0.24230882986285876,0.06215403726107149,0.047240440815248405
assist2012,dkt,2024,1,very_sparse,6,13,0.925,0.7692307692307693,1.0596279396980282,0.4519611989499575,0.2375457956849669,0.20426892535628308,0.2366863905325444,0.1383612102632758,0.17258382642998027
assist2012,simplekt,2024,1,dense,148,536773,0.6786895842149023,0.6951057523385118,0.6965552177332898,0.46287711349648786,0.12029930695520523,0.2142552221988405,0.21057773411692024,0.021766840530652594,0.017964543744744137
assist2012,simplekt,2024,1,medium,67,5523,0.7715752688614821,0.7030599311968133,0.7578200966507874,0.4666422480395982,0.15035011614157176,0.2177549876554499,0.24679852616397271,0.025528744900965163,0.05373820712727845
assist2012,simplekt,2024,1,sparse,39,439,0.707439290761917,0.683371298405467,1.2222907084480998,0.5117355325035468,0.23760285068494563,0.2618732552266886,0.24230882986285876,0.06092268412263714,0.03999673503120661
assist2012,simplekt,2024,1,very_sparse,6,13,0.825,0.7692307692307693,1.0016684960263225,0.4372532340519812,0.192302720549588,0.19119039068891666,0.2366863905325444,0.0522573707824731,0.10207100591715976
assist2012,irt_1pl,2025,2,dense,145,521520,0.5,0.7000345144960883,0.6108691416422175,0.458258198857615,0.0037925993607441644,0.21000057682022538,0.20998619301031424,1.4383809911117045e-05,0.0
assist2012,irt_1pl,2025,2,medium,70,6734,0.5,0.5111375111375112,0.7675527018305605,0.5330474615126264,0.18510440399783312,0.2841395962250549,0.2498759558456618,0.03426364037939302,0.0
assist2012,irt_1pl,2025,2,sparse,37,402,0.5,0.6567164179104478,0.6468000112322273,0.47644750947842435,0.0395254972248964,0.22700222928819325,0.2254399643573179,0.001562264930875293,0.0
assist2012,irt_1pl,2025,2,very_sparse,7,21,0.5,0.5238095238095238,0.7570417036415964,0.5283616528045016,0.17243239132582044,0.27916603615430474,0.2494331065759637,0.029732929578340877,0.0
assist2012,irt_1pl,2025,2,strict_cold_start,1,4,,0.0,1.1915236678432282,0.6962419151353444,0.6962419151353444,0.4847528043913321,0.0,0.4847528043913321,0.0
assist2012,dkt,2025,2,dense,145,521520,0.6969142316397099,0.7192725111213376,0.5777273566362922,0.43874794992660787,0.058987446763973106,0.1924997635648012,0.20998619301031424,0.005031283884351982,0.02229185768418504
assist2012,dkt,2025,2,medium,70,6734,0.74780453097785,0.6787941787941788,0.7431770083027839,0.4786198838895748,0.15218268684115377,0.22907699325447006,0.2498759558456618,0.025736063488562368,0.04563907869973964
