dataset,model,seed,fold,n_events,auc,acc,nll,rmse
assist2012,irt_1pl,42,0,534150,0.5,0.697790882710849,0.6127308243663628,0.4592183014000402
assist2012,dkt,42,0,534150,0.6989399535313159,0.7186314705607039,0.5803353995860621,0.43923278524425124
assist2012,simplekt,42,0,534150,0.6837029867791296,0.6994795469437424,0.698541970290002,0.46055422369044885
assist2012,irt_1pl,2024,1,542748,0.5,0.6970085564571403,0.6133792661614392,0.45955228162583645
assist2012,dkt,2024,1,542748,0.6986869037663477,0.7191532718683441,0.5800310396666192,0.4392056182982582
assist2012,simplekt,2024,1,542748,0.6802224332197606,0.695178978089279,0.6976111963445477,0.4629565843906335
assist2012,irt_1pl,2025,2,528681,0.5,0.6975832307194698,0.6129023971323717,0.4593067232971373
assist2012,dkt,2025,2,528681,0.698425123915711,0.718771811356943,0.5801572640829469,0.4393130726427287
assist2012,simplekt,2025,2,528681,0.683665420256908,0.6985573531108551,0.6963556907411216,0.46108382723473595
assist2012,irt_1pl,2026,3,528681,0.5,0.6975832307194698,0.6129023971323717,0.4593067232971373
assist2012,dkt,2026,3,528681,0.6982848473423696,0.7188569288474524,0.586755138709121,0.4401110525082792
assist2012,simplekt,2026,3,528681,0.6868869860354221,0.7039027315148454,0.7030567437547263,0.45733169027969833
assist2012,irt_1pl,2027,4,515889,0.5,0.6969735737726527,0.6134090933158803,0.45956759295099486
assist2012,dkt,2027,4,515889,0.6958076036648345,0.7160842739426505,0.590659856893553,0.4417136089155238
assist2012,simplekt,2027,4,515889,0.6855956045082103,0.7023623298810403,0.7093935293573308,0.4583163623898941
junyi,irt_1pl,42,0,3269022,0.5,0.7043981349773725,0.6070977140735917,0.4563156362377593
junyi,dkt,42,0,3269022,0.7325663255875674,0.7332734377437655,0.5442189717560367,0.4252530767341299
junyi,simplekt,42,0,3269022,0.7261242578405391,0.7288452020206655,0.5958542431676748,0.4320421215507052
junyi,irt_1pl,2024,1,3243926,0.5,0.7076829126188452,0.6042666030035501,0.45485160072858627
junyi,dkt,2024,1,3243926,0.7324230717222795,0.735837377301455,0.5414269626354152,0.4238795720134223
junyi,simplekt,2024,1,3269022,0.7252603324537382,0.7284634364650957,0.5934210001749053,0.4319614161187107
junyi,irt_1pl,2025,2,3244494,0.5,0.7036699713422185,0.6077232099036887,0.4566385851866807
junyi,dkt,2025,2,3244494,0.731536842722013,0.7325965158203406,0.5447171203665876,0.42568030384156036
junyi,simplekt,2025,2,3243926,0.7242338280790755,0.7299103000500011,0.5990342953908122,0.4319978624677576
junyi,irt_1pl,2026,3,3244494,0.5,0.7036699713422185,0.6077232099036887,0.4566385851866807
junyi,dkt,2026,3,3244494,0.7296427917328608,0.7328779156318366,0.5485991980240023,0.4261787696886746
junyi,simplekt,2026,3,3244494,0.7183406135361105,0.7218999326243167,0.6449175469325772,0.4402314144450476
junyi,irt_1pl,2027,4,3163548,0.5,0.705516085104446,0.6061381577728896,0.4558197195524306
junyi,dkt,2027,4,3163548,0.7322483645908582,0.7353398778839455,0.5438443928989767,0.4243242515574692
junyi,simplekt,2027,4,3163548,0.7198151240737429,0.7264214103911178,0.6168931886139997,0.43605306169066277
xes3g5m,irt_1pl,42,0,1282422,0.5,0.8005804641529856,0.5601181313966875,0.43013890608780414
xes3g5m,dkt,42,0,1282422,0.8193738173061296,0.835742056826848,0.3862111484508116,0.3465926422354785
xes3g5m,simplekt,42,0,1282422,0.7565023121139166,0.8094589768422563,0.6082956193953384,0.39007115767085637
xes3g5m,irt_1pl,2024,1,1284128,0.5,0.7954401741882429,0.5630581052738246,0.43179936370979105
xes3g5m,dkt,2024,1,1282422,0.8183753046718523,0.8350753496119062,0.3864668372242793,0.3469795531302159
xes3g5m,simplekt,2024,1,1282422,0.7560195553147913,0.8101210054100756,0.6071137027502207,0.38966545197359
xes3g5m,irt_1pl,2025,2,1284877,0.5,0.7943382907468964,0.5632318244719808,0.4319115416306995
xes3g5m,dkt,2025,2,1284128,0.8191678243193907,0.8315502815918663,0.39111279634660656,0.3497543958477695
xes3g5m,simplekt,2025,2,1284128,0.7571327169377053,0.8065278539211045,0.6210782045588867,0.3932221210770913
xes3g5m,irt_1pl,2026,3,1284877,0.5,0.7943382907468964,0.5632318244719808,0.4319115416306995
xes3g5m,dkt,2026,3,1284877,0.8136253719263128,0.8296163757309065,0.4029888659917997,0.35273410922212295
xes3g5m,simplekt,2026,3,1284877,0.7559685012256907,0.80275855198591,0.6325491099312814,0.39667275214204323
xes3g5m,irt_1pl,2027,4,1285862,0.5,0.7938449071517784,0.5637299051119048,0.4321853806287313
xes3g5m,dkt,2027,4,1285862,0.8143369455534222,0.8293168318217663,0.40310187899827926,0.35300434955815374
xes3g5m,simplekt,2027,4,1285862,0.7537512564207893,0.8026203433961031,0.6384461078690946,0.39723742335970524
