dataset,model,fault_type,corruption_rate,n_warm,AUC,correlation,conditional_mean_gap,frac_missing_ids,frac_duplicate_ids,frac_unmatched_ids,identity_mismatch_rate,irt_warm_auc,detected,fired_signals,detection_rule
ASSISTments 2012,dkt,clean,0.0,529786,0.660636,0.265297,0.132322,0.0,0.0,0.0,0.0,0.591875,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
ASSISTments 2012,dkt,F1_label_shift_plus1,1.0,518448,0.602423,0.172994,0.086223,0.0,0.0,0.0,0.336362,0.591875,True,identity_mismatch,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
ASSISTments 2012,dkt,F2_label_shift_minus1,1.0,518492,0.67626,0.282321,0.141379,0.0,0.0,0.0,0.336362,0.591875,True,identity_mismatch,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
ASSISTments 2012,dkt,F3_pred_shift,1.0,518448,0.676352,0.28256,0.141398,0.0,0.0,0.0,0.0,0.591875,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
ASSISTments 2012,dkt,F4_within_learner_shuffle,1.0,529786,0.573999,0.122965,0.061321,0.0,0.0,0.0,0.0,0.591875,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
ASSISTments 2012,dkt,F5_row_index_mismatch,1.0,529786,0.496706,-0.004782,-0.002385,0.0,0.0,0.0,0.0,0.591875,True,near_random_auc|collapse_vs_irt|nonpositive_corr|nonpositive_gap,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
ASSISTments 2012,dkt,F6_partial_mismatch,0.01,529786,0.659114,0.262784,0.131098,0.0,0.0,0.0,0.0,0.591875,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
ASSISTments 2012,dkt,F6_partial_mismatch,0.05,529786,0.652818,0.252411,0.125977,0.0,0.0,0.0,0.0,0.591875,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
ASSISTments 2012,dkt,F6_partial_mismatch,0.1,529786,0.644212,0.238422,0.118866,0.0,0.0,0.0,0.0,0.591875,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
ASSISTments 2012,dkt,F6_partial_mismatch,0.25,529786,0.621139,0.199566,0.099706,0.0,0.0,0.0,0.0,0.591875,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
ASSISTments 2012,dkt,F6_partial_mismatch,0.5,529786,0.580569,0.132817,0.066251,0.0,0.0,0.0,0.0,0.591875,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
ASSISTments 2012,simplekt,clean,0.0,529786,0.67343,0.28354,0.184282,0.0,0.0,0.0,0.0,0.591875,False,none,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
ASSISTments 2012,simplekt,F1_label_shift_plus1,1.0,518448,0.624111,0.204969,0.133299,0.0,0.0,0.0,0.336362,0.591875,True,identity_mismatch,"warm_AUC < 0.55 OR warm_AUC + 0.05 < IRT_warm_AUC OR pearson(p,y) <= 0 OR (E[p|y=1]-E[p|y=0]) <= 0 OR identity_mismatch_rate > clean_identity_mismatch + 0.01"
