covariate,coef_std,SE,t,p,CI_lo,CI_hi,n,weighted,dataset,model
log_train_freq,-0.07905909409227611,0.008976011681733074,-8.807819875409466,0.0,-0.09665207698847295,-0.06146611119607929,478,True,assist2012,simplekt
difficulty_proxy,0.027074863797557056,0.004534743148147684,5.970539656389664,2.3647008795535385e-09,0.018186767227187595,0.03596296036792652,478,True,assist2012,simplekt
n_train_items,-0.005996041145551692,0.003895141560960812,-1.5393641159662121,0.12371542929044166,-0.013630518605034884,0.0016384363139314998,478,True,assist2012,simplekt
n_train_learners,0.01857367985346498,0.004483850446970215,4.14235043588829,3.4376454432161196e-05,0.009785332977403357,0.0273620267295266,478,True,assist2012,simplekt
median_sequence_position_train,-0.004983565556372769,0.0039567660599179886,-1.2595047270689697,0.20784808390394582,-0.012738827033812027,0.002771695921066489,478,True,assist2012,simplekt
log_train_freq,-0.058086710875604054,0.012618627312868124,-4.603251164757743,4.159460981201235e-06,-0.08281922040882558,-0.03335420134238253,478,False,assist2012,simplekt
difficulty_proxy,0.02727528759835159,0.009851771999646618,2.768566669968606,0.005630346477277781,0.007965814479044219,0.04658476071765896,478,False,assist2012,simplekt
n_train_items,-0.011116063162646395,0.003289612481409607,-3.37914062080745,0.0007271280521352619,-0.017563703626209223,-0.0046684226990835655,478,False,assist2012,simplekt
n_train_learners,0.02315432618167786,0.0069275735203347235,3.342342901697433,0.000830743652837862,0.009576282081821801,0.03673237028153392,478,False,assist2012,simplekt
median_sequence_position_train,-0.006844791357325442,0.00753227391630843,-0.9087284176569187,0.3634934998595267,-0.021608048233289965,0.007918465518639079,478,False,assist2012,simplekt
log_train_freq,-0.010291268057743882,0.001802475416493591,-5.709519233146487,1.1329575499985367e-08,-0.01382411987407132,-0.006758416241416444,2645,True,junyi,simplekt
difficulty_proxy,0.00374445841982494,0.0009803460400934774,3.819527255363729,0.0001337076855500996,0.0018229801812417244,0.005665936658408156,2645,True,junyi,simplekt
n_train_items,-0.0011276085399783546,0.0006410214737094602,-1.759080758173536,0.07856379265565927,-0.0023840106284488964,0.0001287935484921873,2645,True,junyi,simplekt
n_train_learners,-0.0004981534970325615,0.0010660649875756485,-0.4672824854377954,0.640297785639786,-0.0025876408726808325,0.0015913338786157094,2645,True,junyi,simplekt
median_sequence_position_train,-0.004063694463830112,0.0008007411844911855,-5.074916268247527,3.876666725410871e-07,-0.0056331471854328356,-0.0024942417422273884,2645,True,junyi,simplekt
log_train_freq,-0.016933674650367065,0.0017197568720953545,-9.846551524306484,0.0,-0.02030439811967396,-0.01356295118106017,2645,False,junyi,simplekt
difficulty_proxy,0.004782651993559871,0.0009591417891695041,4.986386838280756,6.151891096539686e-07,0.002902734086787643,0.006662569900332099,2645,False,junyi,simplekt
n_train_items,-0.0009402004509574246,0.0006796128452321707,-1.383435374350865,0.16653141022994267,-0.0022722416276124793,0.0003918407256976301,2645,False,junyi,simplekt
n_train_learners,0.00753988641235963,0.001734387664447127,4.347290151399416,1.3782983489418754e-05,0.004140486590043261,0.010939286234675999,2645,False,junyi,simplekt
median_sequence_position_train,-0.00281363988055511,0.0007982837364613974,-3.524611303027804,0.0004241046027066986,-0.004378276004019448,-0.001249003757090771,2645,False,junyi,simplekt
log_train_freq,-0.11696823709795116,0.027480153904946736,-4.2564622273420225,2.0768710575991278e-05,-0.17082933875164677,-0.06310713544425556,1263,True,xes3g5m,simplekt
difficulty_proxy,0.018504140302413704,0.030101290153733036,0.6147291431001637,0.5387336102413633,-0.04049438839890304,0.07750266900373046,1263,True,xes3g5m,simplekt
n_train_items,0.008633024983186794,0.00810710257742232,1.0648718084842208,0.2869339440673224,-0.007256896068560953,0.024522946034934538,1263,True,xes3g5m,simplekt
n_train_learners,0.018072879097904025,0.011840465910382257,1.5263655361785136,0.1269188556232852,-0.0051344340864451984,0.04128019228225325,1263,True,xes3g5m,simplekt
median_sequence_position_train,-0.0032563487698829283,0.007138994413488788,-0.4561354977012187,0.648292545267704,-0.017248777820320953,0.010736080280555095,1263,True,xes3g5m,simplekt
log_train_freq,-0.01306473308402419,0.009760231993332388,-1.3385678837295305,0.1807113872815027,-0.03219478779095567,0.0060653216229072885,1263,False,xes3g5m,simplekt
difficulty_proxy,0.06650027444543852,0.006422938077156133,10.353559951317898,0.0,0.0539113158142125,0.07908923307666454,1263,False,xes3g5m,simplekt
n_train_items,-0.010141961465861857,0.005476048048688011,-1.8520585239005962,0.06401741949759576,-0.020875015641290358,0.000591092709566643,1263,False,xes3g5m,simplekt
n_train_learners,0.01938784188371063,0.008673392886155897,2.2353238390315147,0.025396096110756217,0.0023879918268450706,0.036387691940576186,1263,False,xes3g5m,simplekt
median_sequence_position_train,-0.006306322911871973,0.004465904040445627,-1.412104437255822,0.15791921243119944,-0.015059494831145402,0.0024468490074014554,1263,False,xes3g5m,simplekt
