dataset,model,stratum,AUC,ACC,NLL,RMSE,KCs,Events,Reliability_flag,Trend
ASSISTments 2012,IRT,dense,0.5000,0.6995,0.6113,0.4585,145,523395,R,NON_MONOTONIC
ASSISTments 2012,IRT,medium,0.5000,0.5250,0.7560,0.5279,70,6211,R,NON_MONOTONIC
ASSISTments 2012,IRT,sparse,0.5000,0.6253,0.6728,0.4889,37,403,L,NON_MONOTONIC
ASSISTments 2012,IRT,Very Sparse,0.5000,0.4926,0.7829,0.5396,7,19,I,NON_MONOTONIC
ASSISTments 2012,IRT,Strict Cold-start,-,0.0000,1.1915,0.6962,1,4,I,NON_MONOTONIC
ASSISTments 2012,DKT,dense,0.6969,0.7188,0.5803,0.4393,145,523395,R,NON_MONOTONIC
ASSISTments 2012,DKT,medium,0.7455,0.6806,0.8201,0.4855,70,6211,R,NON_MONOTONIC
ASSISTments 2012,DKT,sparse,0.7332,0.7051,1.1652,0.4980,37,403,L,NON_MONOTONIC
ASSISTments 2012,DKT,Very Sparse,0.9045,0.7802,0.7088,0.4065,7,19,I,NON_MONOTONIC
ASSISTments 2012,DKT,Strict Cold-start,-,0.5000,0.7013,0.5017,1,4,I,NON_MONOTONIC
ASSISTments 2012,SimpleKT,dense,0.6826,0.7001,0.6992,0.4597,145,523395,R,NON_MONOTONIC
ASSISTments 2012,SimpleKT,medium,0.7422,0.6809,0.8212,0.4833,70,6211,R,NON_MONOTONIC
ASSISTments 2012,SimpleKT,sparse,0.7197,0.6988,1.1214,0.4992,37,403,L,NON_MONOTONIC
ASSISTments 2012,SimpleKT,Very Sparse,0.8355,0.7678,0.9367,0.4609,7,19,I,NON_MONOTONIC
ASSISTments 2012,SimpleKT,Strict Cold-start,-,0.3750,0.7471,0.5252,1,4,I,NON_MONOTONIC
Junyi Academy,IRT,dense,0.5000,0.7051,0.6065,0.4560,1301,3230601,R,NON_MONOTONIC
Junyi Academy,IRT,medium,0.5000,0.5958,0.7006,0.5023,25,2496,R,NON_MONOTONIC
Junyi Academy,DKT,dense,0.7319,0.7341,0.5441,0.4249,1301,3230601,R,MONOTONIC_DEGRADATION
Junyi Academy,DKT,medium,0.5954,0.5831,1.0982,0.5578,25,2496,R,MONOTONIC_DEGRADATION
Junyi Academy,SimpleKT,dense,0.7238,0.7279,0.6046,0.4335,1301,3235313,R,MONOTONIC_DEGRADATION
Junyi Academy,SimpleKT,medium,0.6817,0.6451,0.6886,0.4805,25,2689,R,MONOTONIC_DEGRADATION
XES3G5M,IRT,dense,0.5000,0.7959,0.5626,0.4315,497,1269390,R,NON_MONOTONIC
XES3G5M,IRT,medium,0.5000,0.7834,0.5699,0.4356,174,12977,R,NON_MONOTONIC
XES3G5M,IRT,sparse,0.5000,0.7492,0.5898,0.4466,121,1959,R,NON_MONOTONIC
XES3G5M,IRT,Very Sparse,0.5000,0.7189,0.6074,0.4560,40,106,L,NON_MONOTONIC
XES3G5M,IRT,Strict Cold-start,0.5000,0.5417,0.7111,0.5013,2,2,I,NON_MONOTONIC
XES3G5M,DKT,dense,0.8168,0.8322,0.3923,0.3498,497,1268748,R,INVERTED
XES3G5M,DKT,medium,0.8587,0.8432,0.4996,0.3503,174,13082,R,INVERTED
XES3G5M,DKT,sparse,0.8547,0.8264,0.7310,0.3786,121,2002,R,INVERTED
XES3G5M,DKT,Very Sparse,0.8172,0.7668,1.1867,0.4402,41,109,L,INVERTED
XES3G5M,DKT,Strict Cold-start,0.7500,0.4583,0.6996,0.5019,2,2,I,INVERTED
XES3G5M,SimpleKT,dense,0.7548,0.8060,0.6214,0.3936,497,1268748,R,INVERTED
XES3G5M,SimpleKT,medium,0.8344,0.8373,0.6195,0.3672,174,13082,R,INVERTED
XES3G5M,SimpleKT,sparse,0.8455,0.8167,0.6889,0.3852,121,2002,R,INVERTED
XES3G5M,SimpleKT,Very Sparse,0.8188,0.7750,0.9877,0.4302,41,109,L,INVERTED
XES3G5M,SimpleKT,Strict Cold-start,0.5000,0.4167,0.9390,0.5858,2,2,I,INVERTED
