dataset,model,x,y,rho,CI_lo,CI_hi,p,n,sig
assist2012,irt_1pl,log_train_freq,ECE,-0.5649987029147192,-0.6229902054447184,-0.5033170514888828,6.276505373761882e-44,505,***
assist2012,irt_1pl,log_train_freq,REL,-0.5629088988609988,-0.6208799385686166,-0.5010018911186906,1.502563866046548e-43,505,***
assist2012,irt_1pl,difficulty_proxy,ECE,0.346576159956212,0.25340878856184595,0.44307801636291055,6.166720049532467e-15,478,***
assist2012,irt_1pl,median_sequence_position_train,ECE,0.08240447838058386,-0.011291139851654775,0.18290757167711602,0.0718650993812779,478,
assist2012,irt_1pl,n_train_items,ECE,-0.5606983625762336,-0.6232200795939506,-0.49514378012691496,6.30503348570115e-41,478,***
assist2012,irt_1pl,n_train_learners,ECE,-0.5409637419503964,-0.6018692466630036,-0.4738613157312825,1.1009077391500928e-37,478,***
assist2012,dkt,log_train_freq,ECE,-0.7179295983429349,-0.776121329075002,-0.645193708169383,3.654413327703582e-81,505,***
assist2012,dkt,log_train_freq,REL,-0.7379691207685205,-0.7948339299630444,-0.6681325565029108,5.866919419129647e-88,505,***
assist2012,dkt,difficulty_proxy,ECE,0.41121199946744713,0.3327803597875738,0.49300419970424436,6.27588866076523e-21,478,***
assist2012,dkt,median_sequence_position_train,ECE,0.09359305905074058,-0.0017666548532629409,0.18449877615510257,0.04081752838642025,478,*
assist2012,dkt,n_train_items,ECE,-0.6934955027954733,-0.7537198920581809,-0.6319811016786512,8.779375101998398e-70,478,***
assist2012,dkt,n_train_learners,ECE,-0.7124270632891269,-0.7786284313711428,-0.6424237900256639,3.0973739758453223e-75,478,***
assist2012,simplekt,log_train_freq,ECE,-0.52288032474922,-0.5996473498787116,-0.4449551570572553,8.820571566611037e-37,505,***
assist2012,simplekt,log_train_freq,REL,-0.5715413399009135,-0.6441011100063546,-0.49784103888218967,3.918983222967605e-45,505,***
assist2012,simplekt,difficulty_proxy,ECE,0.3958248700376078,0.30897083857745256,0.4749070842453316,2.224148347369994e-19,478,***
assist2012,simplekt,median_sequence_position_train,ECE,-0.0017833904663572902,-0.10061479530898043,0.09815656652883809,0.9689792157136063,478,
assist2012,simplekt,n_train_items,ECE,-0.5066930113246985,-0.5839528114382211,-0.4252577796874069,1.539493109909731e-32,478,***
assist2012,simplekt,n_train_learners,ECE,-0.4489819396101656,-0.5350296407511573,-0.3594634659669169,4.3411844974690335e-25,478,***
junyi,irt_1pl,log_train_freq,ECE,-0.12681037362646927,-0.1644382515840303,-0.08951650148315816,5.7494901924806626e-11,2649,***
junyi,irt_1pl,log_train_freq,REL,-0.15049143044809973,-0.18838667487638128,-0.11293629541443784,6.9008492729384574e-15,2649,***
junyi,irt_1pl,difficulty_proxy,ECE,0.3533112529579923,0.3148371776895657,0.3939380482606428,1.3105233451990213e-78,2645,***
junyi,irt_1pl,median_sequence_position_train,ECE,0.11756444239441023,0.07803951480772671,0.1548369122481125,1.3238903173283159e-09,2645,***
junyi,irt_1pl,n_train_items,ECE,0.08894100601585722,0.05078289011881886,0.12838606384937978,4.625013428235905e-06,2645,***
junyi,irt_1pl,n_train_learners,ECE,-0.19873576158511924,-0.23273126187405901,-0.1603681960257233,5.772854285282942e-25,2645,***
junyi,dkt,log_train_freq,ECE,-0.9010178880801682,-0.9096463492413092,-0.8917331580952669,0.0,2649,***
junyi,dkt,log_train_freq,REL,-0.9074366216357004,-0.915271727114901,-0.8992420549778265,0.0,2649,***
junyi,dkt,difficulty_proxy,ECE,0.47865484449695045,0.4460399064402082,0.5071733011745433,1.4804956432523253e-151,2645,***
junyi,dkt,median_sequence_position_train,ECE,0.3804677325956927,0.3437012639230929,0.41617826136891156,7.357915343346086e-92,2645,***
junyi,dkt,n_train_items,ECE,-0.032013040242043996,-0.07048883920328579,0.007484650684227205,0.09975134267937733,2645,
junyi,dkt,n_train_learners,ECE,-0.9005405864549115,-0.9090428626994101,-0.8918687850561735,0.0,2645,***
junyi,simplekt,log_train_freq,ECE,-0.2654853546236424,-0.3021982527489716,-0.2285673258385756,5.665741405541654e-44,2649,***
junyi,simplekt,log_train_freq,REL,-0.27678313686407413,-0.3143842706789563,-0.23976130895408407,8.597625377189085e-48,2649,***
